instance,stations,station_source,inapp_mrr_today,total_today_70_base,total_new_tiered,delta_per_month
Upton,2,est,598.0,738.0,170.0,-568.0
alpinecleaners,6,doc,599.0,1019.0,510.0,-509.0
americancleanersmiddletown,8,doc,981.35,1541.35,680.0,-861.35
aonedryclean,11,est,1294.2,2064.2,930.0,-1134.2
appearanceplus,8,est,599.0,1159.0,680.0,-479.0
arrowfabricare,27,est,853.1,2743.1,2200.0,-543.1
arthursexecutivecleaners,5,doc,599.0,949.0,425.0,-524.0
benzingers,19,doc,929.7,2259.7,1570.0,-689.7
bridgestonecleaners,5,est,929.7,1279.7,425.0,-854.7
burkecleaners,30,doc,599.0,2699.0,2425.0,-274.0
caatinc,9,doc,1033.0,1663.0,765.0,-898.0
camelotcleaners,4,doc,898.0,1178.0,340.0,-838.0
capecleaners,4,doc,826.4,1106.4,340.0,-766.4
captkcleans,4,doc,808.2,1088.2,340.0,-748.2
carrscleaners,4,doc,929.7,1209.7,340.0,-869.7
carrscleaners2,3,doc,808.2,1018.2,255.0,-763.2
cleanclothesdrycleaners,3,doc,599.0,809.0,255.0,-554.0
corryscleaning,16,doc,599.0,1719.0,1330.0,-389.0
countryclubcleaners,8,est,1109.6,1669.6,680.0,-989.6
courtesycleaners,15,est,599.0,1649.0,1250.0,-399.0
cressbells,3,est,299.0,509.0,255.0,-254.0
crest,28,est,2023.2,3983.2,2275.0,-1708.2
curtiscleaners,8,doc,929.7,1489.7,680.0,-809.7
davisimperial,12,doc,299.0,1139.0,1010.0,-129.0
deluxedrycleaners,7,est,569.0,1059.0,595.0,-464.0
dosummers,40,doc,1109.6,3909.6,3175.0,-734.6
drycleannyc,2,doc,974.0,1114.0,170.0,-944.0
europeancleaners,9,doc,808.2,1438.2,765.0,-673.2
fabricarecenter,14,doc,981.35,1961.35,1170.0,-791.35
fashioncleanersoh,5,est,599.0,949.0,425.0,-524.0
faziocleaners,22,est,1366.1,2906.1,1810.0,-1096.1
feigenbaumcleaners,11,doc,599.0,1369.0,930.0,-439.0
frejatenterprises,9,doc,599.0,1229.0,765.0,-464.0
freshcleanseattle,1,doc,599.0,669.0,85.0,-584.0
freshdrycleaning,4,doc,599,879.0,340.0,-539.0
frontiercleanersaz,3,doc,599.0,809.0,255.0,-554.0
galaxycleanersaz,4,doc,599.0,879.0,340.0,-539.0
gibsonscleaners,17,doc,569.05,1759.05,1410.0,-349.05
glyndonlordbaltimore,8,est,569.0,1129.0,680.0,-449.0
goodwinsglamorama,4,doc,853.1,1133.1,340.0,-793.1
h2olaundryanddrycleaning,2,est,598.0,738.0,170.0,-568.0
helenascleaners,22,doc,934.4,2474.4,1810.0,-664.4
holidaycleanersofamerica,2,doc,299.0,439.0,170.0,-269.0
hydesqualitydrycleaners,2,est,209.3,349.3,170.0,-179.3
janetdaviscleaners,6,est,599.0,1019.0,510.0,-509.0
jeevesofbelgravia,9,doc,299.0,929.0,765.0,-164.0
jscleaners,4,est,569.05,849.05,340.0,-509.05
judiscleaners,9,doc,808.2,1438.2,765.0,-673.2
kimscleanersaustin,6,doc,898.0,1318.0,510.0,-808.0
kingbridge,5,est,981.35,1331.35,425.0,-906.35
kingdrycleaners,4,est,599.0,879.0,340.0,-539.0
kitescleaners,5,doc,981.35,1331.35,425.0,-906.35
mastercleanersks,2,est,599.0,739.0,170.0,-569.0
masterdrycleanersmalvern,2,est,598.0,738.0,170.0,-568.0
masterkleen,10,doc,569.05,1269.05,850.0,-419.05
mastersmarkcleaners,31,doc,599.0,2769.0,2500.0,-269.0
metrodrycleaning,7,doc,853.1,1343.1,595.0,-748.1
molinekronberg,5,doc,853.1,1203.1,425.0,-778.1
morrellsdrycleaners,4,est,434.0,714.0,340.0,-374.0
nuwaydrycleaner,14,doc,599.0,1579.0,1170.0,-409.0
orchidcleaners,5,est,599.0,949.0,425.0,-524.0
paolettiscleaners,11,doc,808.2,1578.2,930.0,-648.2
parklanecleaners,3,doc,199.0,409.0,255.0,-154.0
peppersquarecleaners,7,doc,498.0,988.0,595.0,-393.0
plantengas,15,doc,599.0,1649.0,1250.0,-399.0
pleats,4,est,718.4,998.4,340.0,-658.4
pressclubdrycleaners,4,est,299.0,579.0,340.0,-239.0
prestigecleaners,18,est,1622.6,2882.6,1490.0,-1392.6
prestigenyc,2,est,599.0,739.0,170.0,-569.0
qualitycleanerstb,3,doc,599.0,809.0,255.0,-554.0
reysdrycleaninggroup,3,est,299.0,509.0,255.0,-254.0
rickscleaners,40,doc,2648.6,5448.6,3175.0,-2273.6
ridgecleaners,9,doc,898.0,1528.0,765.0,-763.0
ritzcleaners,4,est,299.0,579.0,340.0,-239.0
sacinoscleaners,7,doc,599.0,1089.0,595.0,-494.0
saveoncleaners25,12,est,284.05,1124.05,1010.0,-114.05
scanlons,6,doc,853.1,1273.1,510.0,-763.1
scleaners,8,doc,599.0,1159.0,680.0,-479.0
simpledrycleaners,3,doc,434.0,644.0,255.0,-389.0
smartwashlaundrycenter,8,doc,1109.6,1669.6,680.0,-989.6
snedicors,6,est,199.0,619.0,510.0,-109.0
soapboxcleaners,4,est,599.0,879.0,340.0,-539.0
starcrestcleaners,10,est,599.0,1299.0,850.0,-449.0
starcrestcleanersindy,2,est,299.5,439.5,170.0,-269.5
steamercleaners,22,doc,599.0,2139.0,1810.0,-329.0
styleandgracecleaners,5,doc,599.0,949.0,425.0,-524.0
sudsies,8,est,1042.4,1602.4,680.0,-922.4
summitcleaners,19,est,569.0,1899.0,1570.0,-329.0
sunnycleanersmb,6,doc,299.0,719.0,510.0,-209.0
superiorcleanersma,8,doc,434.0,994.0,680.0,-314.0
thewadecompanies,8,doc,704.0,1264.0,680.0,-584.0
tigercleaners,8,est,898.0,1458.0,680.0,-778.0
totalcleaners,3,est,299.0,509.0,255.0,-254.0
townandcountryfl,3,est,299.0,509.0,255.0,-254.0
triangledrycleaners,1,doc,299.0,369.0,85.0,-284.0
tscwetclean,1,doc,808.2,878.2,85.0,-793.2
vickscleaners,10,doc,599.0,1299.0,850.0,-449.0
voguecleanersca,2,doc,569.0,709.0,170.0,-539.0
washboxlaundromat,1,est,197.67,267.67,85.0,-182.67
