instance,stations,station_source,inapp_mrr_today,marketing_at_70_per_st,delta_per_month
Upton,2,est,598.0,140.0,-458.0
alpinecleaners,6,doc,599.0,420.0,-179.0
americancleanersmiddletown,8,doc,981.35,560.0,-421.35
aonedryclean,11,est,1294.2,770.0,-524.2
appearanceplus,8,est,599.0,560.0,-39.0
arrowfabricare,27,est,853.1,1890.0,1036.9
arthursexecutivecleaners,5,doc,599.0,350.0,-249.0
benzingers,19,doc,929.7,1330.0,400.3
bridgestonecleaners,5,est,929.7,350.0,-579.7
burkecleaners,30,doc,599.0,2100.0,1501.0
caatinc,9,doc,1033.0,630.0,-403.0
camelotcleaners,4,doc,898.0,280.0,-618.0
capecleaners,4,doc,826.4,280.0,-546.4
captkcleans,4,doc,808.2,280.0,-528.2
carrscleaners,4,doc,929.7,280.0,-649.7
carrscleaners2,3,doc,808.2,210.0,-598.2
cleanclothesdrycleaners,3,doc,599.0,210.0,-389.0
corryscleaning,16,doc,599.0,1120.0,521.0
countryclubcleaners,8,est,1109.6,560.0,-549.6
courtesycleaners,15,est,599.0,1050.0,451.0
cressbells,3,est,299.0,210.0,-89.0
crest,28,est,2023.2,1960.0,-63.2
curtiscleaners,8,doc,929.7,560.0,-369.7
davisimperial,12,doc,299.0,840.0,541.0
deluxedrycleaners,7,est,569.0,490.0,-79.0
dosummers,40,doc,1109.6,2800.0,1690.4
drycleannyc,2,doc,974.0,140.0,-834.0
europeancleaners,9,doc,808.2,630.0,-178.2
fabricarecenter,14,doc,981.35,980.0,-1.35
fashioncleanersoh,5,est,599.0,350.0,-249.0
faziocleaners,22,est,1366.1,1540.0,173.9
feigenbaumcleaners,11,doc,599.0,770.0,171.0
frejatenterprises,9,doc,599.0,630.0,31.0
freshcleanseattle,1,doc,599.0,70.0,-529.0
freshdrycleaning,4,doc,599,280.0,-319.0
frontiercleanersaz,3,doc,599.0,210.0,-389.0
galaxycleanersaz,4,doc,599.0,280.0,-319.0
gibsonscleaners,17,doc,569.05,1190.0,620.95
glyndonlordbaltimore,8,est,569.0,560.0,-9.0
goodwinsglamorama,4,doc,853.1,280.0,-573.1
h2olaundryanddrycleaning,2,est,598.0,140.0,-458.0
helenascleaners,22,doc,934.4,1540.0,605.6
holidaycleanersofamerica,2,doc,299.0,140.0,-159.0
hydesqualitydrycleaners,2,est,209.3,140.0,-69.3
janetdaviscleaners,6,est,599.0,420.0,-179.0
jeevesofbelgravia,9,doc,299.0,630.0,331.0
jscleaners,4,est,569.05,280.0,-289.05
judiscleaners,9,doc,808.2,630.0,-178.2
kimscleanersaustin,6,doc,898.0,420.0,-478.0
kingbridge,5,est,981.35,350.0,-631.35
kingdrycleaners,4,est,599.0,280.0,-319.0
kitescleaners,5,doc,981.35,350.0,-631.35
mastercleanersks,2,est,599.0,140.0,-459.0
masterdrycleanersmalvern,2,est,598.0,140.0,-458.0
masterkleen,10,doc,569.05,700.0,130.95
mastersmarkcleaners,31,doc,599.0,2170.0,1571.0
metrodrycleaning,7,doc,853.1,490.0,-363.1
molinekronberg,5,doc,853.1,350.0,-503.1
morrellsdrycleaners,4,est,434.0,280.0,-154.0
nuwaydrycleaner,14,doc,599.0,980.0,381.0
orchidcleaners,5,est,599.0,350.0,-249.0
paolettiscleaners,11,doc,808.2,770.0,-38.2
parklanecleaners,3,doc,199.0,210.0,11.0
peppersquarecleaners,7,doc,498.0,490.0,-8.0
plantengas,15,doc,599.0,1050.0,451.0
pleats,4,est,718.4,280.0,-438.4
pressclubdrycleaners,4,est,299.0,280.0,-19.0
prestigecleaners,18,est,1622.6,1260.0,-362.6
prestigenyc,2,est,599.0,140.0,-459.0
qualitycleanerstb,3,doc,599.0,210.0,-389.0
reysdrycleaninggroup,3,est,299.0,210.0,-89.0
rickscleaners,40,doc,2648.6,2800.0,151.4
ridgecleaners,9,doc,898.0,630.0,-268.0
ritzcleaners,4,est,299.0,280.0,-19.0
sacinoscleaners,7,doc,599.0,490.0,-109.0
saveoncleaners25,12,est,284.05,840.0,555.95
scanlons,6,doc,853.1,420.0,-433.1
scleaners,8,doc,599.0,560.0,-39.0
simpledrycleaners,3,doc,434.0,210.0,-224.0
smartwashlaundrycenter,8,doc,1109.6,560.0,-549.6
snedicors,6,est,199.0,420.0,221.0
soapboxcleaners,4,est,599.0,280.0,-319.0
starcrestcleaners,10,est,599.0,700.0,101.0
starcrestcleanersindy,2,est,299.5,140.0,-159.5
steamercleaners,22,doc,599.0,1540.0,941.0
styleandgracecleaners,5,doc,599.0,350.0,-249.0
sudsies,8,est,1042.4,560.0,-482.4
summitcleaners,19,est,569.0,1330.0,761.0
sunnycleanersmb,6,doc,299.0,420.0,121.0
superiorcleanersma,8,doc,434.0,560.0,126.0
thewadecompanies,8,doc,704.0,560.0,-144.0
tigercleaners,8,est,898.0,560.0,-338.0
totalcleaners,3,est,299.0,210.0,-89.0
townandcountryfl,3,est,299.0,210.0,-89.0
triangledrycleaners,1,doc,299.0,70.0,-229.0
tscwetclean,1,doc,808.2,70.0,-738.2
vickscleaners,10,doc,599.0,700.0,101.0
voguecleanersca,2,doc,569.0,140.0,-429.0
washboxlaundromat,1,est,197.67,70.0,-127.67
