instance,"tier(1=Bcast,2=+Rev,3=+Camp)",stations,station_source,mrr_today,at_55,at_60.50,at_70,at_tier_25_50_75
rickscleaners,3,49,csv,2648.6,2695,2964.5,3430,3675
crest,3,48,csv,2023.2,2640,2904.0,3360,3600
prestigecleaners,3,35,csv,1622.6,1925,2117.5,2450,2625
faziocleaners,3,48,csv,1366.1,2640,2904.0,3360,3600
aonedryclean,3,9,csv,1294.2,495,544.5,630,675
countryclubcleaners,3,23,csv,1109.6,1265,1391.5,1610,1725
dosummers,3,40,fallback,1109.6,2200,2420.0,2800,3000
smartwashlaundrycenter,3,9,csv,1109.6,495,544.5,630,675
caatinc,3,9,csv,1033.0,495,544.5,630,675
americancleanersmiddletown,3,8,csv,981.35,440,484.0,560,600
fabricarecenter,3,14,fallback,981.35,770,847.0,980,1050
kingbridge,3,5,fallback,981.35,275,302.5,350,375
kitescleaners,3,36,csv,981.35,1980,2178.0,2520,2700
drycleannyc,2,16,csv,974.0,880,968.0,1120,800
helenascleaners,3,22,fallback,934.4,1210,1331.0,1540,1650
benzingers,3,18,csv,929.7,990,1089.0,1260,1350
bridgestonecleaners,3,11,csv,929.7,605,665.5,770,825
carrscleaners,3,10,csv,929.7,550,605.0,700,750
curtiscleaners,3,11,csv,929.7,605,665.5,770,825
camelotcleaners,3,9,csv,898.0,495,544.5,630,675
kimscleanersaustin,3,6,csv,898.0,330,363.0,420,450
ridgecleaners,3,12,csv,898.0,660,726.0,840,900
tigercleaners,3,8,csv,898.0,440,484.0,560,600
arrowfabricare,3,23,csv,853.1,1265,1391.5,1610,1725
goodwinsglamorama,3,5,csv,853.1,275,302.5,350,375
metrodrycleaning,3,6,csv,853.1,330,363.0,420,450
molinekronberg,3,6,csv,853.1,330,363.0,420,450
scanlons,3,3,csv,853.1,165,181.5,210,225
capecleaners,3,8,csv,826.4,440,484.0,560,600
captkcleans,3,4,csv,808.2,220,242.0,280,300
carrscleaners2,3,4,csv,808.2,220,242.0,280,300
europeancleaners,3,12,csv,808.2,660,726.0,840,900
judiscleaners,3,15,csv,808.2,825,907.5,1050,1125
paolettiscleaners,3,7,csv,808.2,385,423.5,490,525
tscwetclean,3,2,csv,808.2,110,121.0,140,150
pleats,3,13,csv,718.4,715,786.5,910,975
thewadecompanies,2,9,csv,704.0,495,544.5,630,450
alpinecleaners,3,6,fallback,599.0,330,363.0,420,450
appearanceplus,3,14,csv,599.0,770,847.0,980,1050
arthursexecutivecleaners,3,4,csv,599.0,220,242.0,280,300
burkecleaners,3,34,csv,599.0,1870,2057.0,2380,2550
cleanclothesdrycleaners,3,5,csv,599.0,275,302.5,350,375
corryscleaning,3,16,csv,599.0,880,968.0,1120,1200
courtesycleaners,3,13,csv,599.0,715,786.5,910,975
fashioncleanersoh,3,6,csv,599.0,330,363.0,420,450
feigenbaumcleaners,3,11,fallback,599.0,605,665.5,770,825
frejatenterprises,3,14,csv,599.0,770,847.0,980,1050
freshcleanseattle,3,3,csv,599.0,165,181.5,210,225
freshdrycleaning,3,6,csv,599,330,363.0,420,450
frontiercleanersaz,3,4,csv,599.0,220,242.0,280,300
galaxycleanersaz,3,7,csv,599.0,385,423.5,490,525
janetdaviscleaners,3,12,csv,599.0,660,726.0,840,900
kingdrycleaners,3,3,csv,599.0,165,181.5,210,225
mastercleanersks,3,2,csv,599.0,110,121.0,140,150
mastersmarkcleaners,3,28,csv,599.0,1540,1694.0,1960,2100
nuwaydrycleaner,3,15,csv,599.0,825,907.5,1050,1125
orchidcleaners,3,18,csv,599.0,990,1089.0,1260,1350
plantengas,3,14,csv,599.0,770,847.0,980,1050
prestigenyc,3,12,csv,599.0,660,726.0,840,900
qualitycleanerstb,3,3,csv,599.0,165,181.5,210,225
sacinoscleaners,3,8,csv,599.0,440,484.0,560,600
scleaners,3,9,csv,599.0,495,544.5,630,675
soapboxcleaners,3,10,csv,599.0,550,605.0,700,750
starcrestcleaners,3,10,fallback,599.0,550,605.0,700,750
steamercleaners,3,15,csv,599.0,825,907.5,1050,1125
styleandgracecleaners,3,5,csv,599.0,275,302.5,350,375
vickscleaners,3,10,csv,599.0,550,605.0,700,750
Upton,3,24,csv,598.0,1320,1452.0,1680,1800
h2olaundryanddrycleaning,3,2,csv,598.0,110,121.0,140,150
masterdrycleanersmalvern,3,5,csv,598.0,275,302.5,350,375
gibsonscleaners,3,27,csv,569.05,1485,1633.5,1890,2025
masterkleen,3,13,csv,569.05,715,786.5,910,975
deluxedrycleaners,2,9,csv,569.0,495,544.5,630,450
glyndonlordbaltimore,2,20,csv,569.0,1100,1210.0,1400,1000
summitcleaners,2,23,csv,569.0,1265,1391.5,1610,1150
voguecleanersca,2,16,csv,569.0,880,968.0,1120,800
peppersquarecleaners,2,7,csv,498.0,385,423.5,490,350
morrellsdrycleaners,2,7,csv,434.0,385,423.5,490,350
simpledrycleaners,2,11,csv,434.0,605,665.5,770,550
superiorcleanersma,2,8,csv,434.0,440,484.0,560,400
starcrestcleanersindy,3,7,csv,299.5,385,423.5,490,525
cressbells,3,6,csv,299.0,330,363.0,420,450
davisimperial,2,40,csv,299.0,2200,2420.0,2800,2000
holidaycleanersofamerica,2,2,csv,299.0,110,121.0,140,100
jeevesofbelgravia,2,9,fallback,299.0,495,544.5,630,450
pressclubdrycleaners,2,7,csv,299.0,385,423.5,490,350
reysdrycleaninggroup,2,21,csv,299.0,1155,1270.5,1470,1050
ritzcleaners,2,17,csv,299.0,935,1028.5,1190,850
sunnycleanersmb,2,5,csv,299.0,275,302.5,350,250
totalcleaners,2,30,csv,299.0,1650,1815.0,2100,1500
townandcountryfl,2,5,csv,299.0,275,302.5,350,250
triangledrycleaners,2,2,csv,299.0,110,121.0,140,100
saveoncleaners25,2,4,csv,284.05,220,242.0,280,200
hydesqualitydrycleaners,3,3,csv,209.3,165,181.5,210,225
parklanecleaners,1,2,csv,199.0,110,121.0,140,50
snedicors,1,5,csv,199.0,275,302.5,350,125
washboxlaundromat,3,0,csv,197.67,0,0.0,0,0
