key,summary,issue_type,status,status_category,station_count,go_live_date,marketing_status
"T4PO-36","(On Hold) Tersus Solutions ","New Customer v2","Cancelled","Done","","",""
"T4PO-12","Village Cleaners - 10 st","New Customer v2","Cancelled","Done","","2020-10-19",""
"T4PO-13","Peerless / Save On Cleaners II - 12 st","New Customer v2","Done","Done","","2020-08-12",""
"T4PO-14","New Oriental -  13 st","New Customer v2","Done","Done","","2020-09-14",""
"T4PO-33","Creed's Dry Cleaners - 4 st","New Customer v2","Done","Done","","2020-08-04",""
"T4PO-15","Royalty Cleaners - 7 st","New Customer v2","Done","Done","","2020-08-17",""
"T4PO-4","Cowell's Cleaners - 15 st","New Customer v2","Done","Done","","2020-08-25",""
"T4PO-16","Azalea Cleaners - 7 st","New Customer v2","Done","Done","","2020-10-12",""
"T4PO-17","Kensington Services - 2 st","New Customer v2","Done","Done",2,"2021-02-05",""
"T4PO-18","Westwood Cleaners - 4 st (Fredy)","New Customer v2","Done","Done","","2020-12-16",""
"T4PO-19","st - ","New Customer v2","Done","Done","","2020-08-13",""
"T4PO-20","TSC Wetclean - 1 st","New Customer v2","Done","Done","","2020-09-02",""
"T4PO-5","(ON HOLD) Prestige NYC - 9 st","New Customer v2","Cancelled","Done","","",""
"T4PO-21","Sure Clean Laundry -  2 st","New Customer v2","Done","Done","","2020-08-18",""
"T4PO-22","Douglas Cleaners - 12 st","New Customer v2","Done","Done","","2020-09-25",""
"T4PO-23","Neighborhood Laundry of Bloomfield -  2 st","New Customer v2","Cancelled","Done","","2020-08-10",""
"T4PO-24","Super Suds - Duke and Culpeper - 2 st (Fredy)","New Customer v2","Done","Done","","",""
"T4PO-25","Suzy K's - 4 st","New Customer v2","Done","Done","","2020-11-23",""
"T4PO-6","Sunray Cleaners - 4 st","New Customer v2","Cancelled","Done","","2020-08-17",""
"T4PO-26","Oaks Cleaners Arlington - 4 st","New Customer v2","Done","Done","","2020-08-13",""
"T4PO-27","Powell Quality Cleaners - 1 st","New Customer v2","Done","Done","","2020-08-21",""
"T4PO-28","Prentice Dry Cleaning - 1 st","New Customer v2","Done","Done","","2020-08-21",""
"T4PO-29","Gold Star Cleaners - 1 st","New Customer v2","Done","Done","","2020-08-20",""
"T4PO-7","The Green Van Dry Cleaning - 3 st","New Customer v2","Cancelled","Done","","2020-12-31",""
"T4PO-30","Magic Laundry Services - 1 st","New Customer v2","Done","Done","","2020-08-19",""
"T4PO-3","Donaldson's Cleaners - 4 st","New Customer v2","Done","Done","","2020-08-31",""
"T4PO-1","4 Phase Test 2","New Customer v2","Cancelled","Done","","",""
"T4PO-8","5 st - GreenEarth Castle Pines","New Customer v2","Done","Done",5,"2021-03-02",""
"T4PO-11","Dixie Cleaners SC - 7 st","New Customer v2","Done","Done","","2020-09-10",""
"T4PO-9","Exclusive Cleaners, FL - 2 st","New Customer v2","Done","Done","","2020-09-24",""
"T4PO-31","Pearl Cleaners - 3 st","New Customer v2","Done","Done","","2020-08-21",""
"T4PO-32","River Oaks - Memorial & Washington - 6 st","New Customer v2","Done","Done","","2020-09-03",""
"T4PO-2","Test 2 4 Phase","New Customer v2","Cancelled","Done","","2021-01-21",""
