sev,issue,page,button,section,href,result,fix
P0,Framer template affiliate link,/blogs,See Marketing Tools,to industry leader,https://framer.link/P8mvaz1,302 -> framer.com/projects/new?duplicate=... -> framer.com/login,Point to /book-a-demo
P0,Framer template affiliate link,/blogs,Schedule a Demo,See Marketing Tools,https://framer.link/P8mvaz1,302 -> framer.com/projects/new?duplicate=... -> framer.com/login,Point to /book-a-demo
P0,Framer template affiliate link,/blogs,Schedule a Demo,You Have the Knowledge. Let’s Invest It in Your Future.,https://framer.link/P8mvaz1,302 -> framer.com/projects/new?duplicate=... -> framer.com/login,Point to /book-a-demo
P0,Framer template affiliate link,/blogs,Schedule a Demo,Let's Invest your knowledge in What’s Next.,https://framer.link/P8mvaz1,302 -> framer.com/projects/new?duplicate=... -> framer.com/login,Point to /book-a-demo
P0,Framer template affiliate link,/blogs,Schedule a Demo,Let's Invest your knowledge in What’s Next.,https://framer.link/P8mvaz1,302 -> framer.com/projects/new?duplicate=... -> framer.com/login,Point to /book-a-demo
P0,Framer template affiliate link,/special-services,Let's Build Your Solution,Neither Is SMRT.,https://framer.link/P8mvaz1,302 -> framer.com/projects/new?duplicate=... -> framer.com/login,Point to /book-a-demo
P0,Framer template affiliate link,/special-services,Let's Build Your Solution,Let's Build Your Solution,https://framer.link/P8mvaz1,302 -> framer.com/projects/new?duplicate=... -> framer.com/login,Point to /book-a-demo
P0,Framer template affiliate link,/special-services,Schedule a Demo,Your Craft Got You Here.We'll Take You Further.,https://framer.link/P8mvaz1,302 -> framer.com/projects/new?duplicate=... -> framer.com/login,Point to /book-a-demo
P0,Framer template affiliate link,/special-services,Schedule a Demo,Your Craft Built It. We’ll Grow It.,https://framer.link/P8mvaz1,302 -> framer.com/projects/new?duplicate=... -> framer.com/login,Point to /book-a-demo
P0,Framer template affiliate link,/tech/marketing,Talk to Sales,Turn Customers Into Revenue,https://framer.link/P8mvaz1,302 -> framer.com/projects/new?duplicate=... -> framer.com/login,Point to /book-a-demo
P0,Framer template affiliate link,/tech/marketing,Talk to Sales,Talk to Sales,https://framer.link/P8mvaz1,302 -> framer.com/projects/new?duplicate=... -> framer.com/login,Point to /book-a-demo
P0,Framer template affiliate link,/tech/marketing,Talk to Sales,Turn Customers Into Revenue,https://framer.link/P8mvaz1,302 -> framer.com/projects/new?duplicate=... -> framer.com/login,Point to /book-a-demo
P0,Framer template affiliate link,/tech/marketing,Talk to Sales,Talk to Sales,https://framer.link/P8mvaz1,302 -> framer.com/projects/new?duplicate=... -> framer.com/login,Point to /book-a-demo
P0,Framer template affiliate link,/tech/marketing,Schedule a Demo,You Deliver Excellence. We Spread the Word.,https://framer.link/P8mvaz1,302 -> framer.com/projects/new?duplicate=... -> framer.com/login,Point to /book-a-demo
P0,Framer template affiliate link,/tech/marketing,Schedule a Demo,You Deliver Excellence. We Spread the Word.,https://framer.link/P8mvaz1,302 -> framer.com/projects/new?duplicate=... -> framer.com/login,Point to /book-a-demo
P0,Framer template affiliate link,/tech/metalprogetti,See How It Works,now enhanced by SMrt,https://framer.link/P8mvaz1,302 -> framer.com/projects/new?duplicate=... -> framer.com/login,Point to /book-a-demo
P0,Framer template affiliate link,/tech/metalprogetti,See How It Works,See How It Works,https://framer.link/P8mvaz1,302 -> framer.com/projects/new?duplicate=... -> framer.com/login,Point to /book-a-demo
P0,Framer template affiliate link,/tech/metalprogetti,Schedule a Demo,See How It Works,https://framer.link/P8mvaz1,302 -> framer.com/projects/new?duplicate=... -> framer.com/login,Point to /book-a-demo
P0,Framer template affiliate link,/tech/metalprogetti,Schedule a Demo,Schedule a Demo,https://framer.link/P8mvaz1,302 -> framer.com/projects/new?duplicate=... -> framer.com/login,Point to /book-a-demo
P0,Framer template affiliate link,/tech/metalprogetti,Schedule a Demo,Take Metalprogetti Beyond Its Limits.,https://framer.link/P8mvaz1,302 -> framer.com/projects/new?duplicate=... -> framer.com/login,Point to /book-a-demo
